air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,road_temp_set_1,visibility_set_1,dew_point_temperature_set_1d,rain,wet,snow,slush,fog,blowing_snow,black_ice
-5.333333333,89.8,9.092666667,-4.673333333,1.24,-6.766666667,0,1,0,0,0,0,0
-6,89.33333333,8.572,-4.766666667,1.24,-7.49,0,0,0,0,0,0,0
-6,89.13333333,8.684666667,-4.993333333,1.24,-7.52,0,0,0,0,0,0,0
-6,90,8.480666667,-5,1.18,-7.39,0,0,0,0,0,0,0
-6,90,7.702666667,-5.12,1.24,-7.39,0,0,0,0,0,0,0
-6,90,8.704666667,-4.933333333,0.889333333,-7.39,0,0,0,0,0,0,0
-6,90,7.814666667,-4.34,1.020666667,-7.39,0,0,0,0,0,0,0
-6,90,7.908,-3.78,1.087333333,-7.39,0,0,0,0,0,0,0
-6,90,9.129333333,-3.213333333,1.214,-7.39,0,0,0,0,0,0,0
-5.733333333,90,7.963333333,-2.586666667,1.24,-7.128666667,0,1,0,0,1,0,0
-5,90,7.945333333,-1.566666667,1.24,-6.41,0,1,0,0,1,0,0
-5,90,8.279333333,-0.933333333,1.24,-6.41,0,1,0,0,0,1,0
-5,90,8.334666667,-0.106666667,1.24,-6.41,0,1,0,0,0,0,0
-4.8,90,7.055333333,0.74,1.24,-6.212,0,0,0,0,0,0,0
-4,90,7.112,2.76,1.24,-5.42,0,0,0,0,0,0,0
-4,89.6,7.741333333,2.473333333,1.24,-5.48,0,0,0,0,0,0,0
-4,87.46666667,7.724,2.2,1.24,-5.8,0,0,0,0,0,0,0
-4,85.2,7.203333333,2.933333333,1.24,-6.148,0,0,0,0,0,0,0
-4,86.6,7.296,1.864285714,1.24,-5.93,0,0,0,0,0,0,0
-4,87.53333333,6.888,0.593333333,1.24,-5.79,0,0,0,0,0,0,0
-4,88.8,6.908666667,0.02,1.24,-5.6,0,0,0,0,0,0,0
-4.333333333,89.26666667,6.630666667,-0.78,1.24,-5.857333333,0,0,0,0,0,0,0
-5,89.33333333,7.889333333,-1.366666667,1.24,-6.506666667,0,1,0,0,0,0,0
-5,92.4,7.720666667,-2.106666667,1.029333333,-6.054,0,0,0,0,0,0,0
-5,92.13333333,8.315333333,-2.826666667,0.147333333,-6.091333333,0,0,0,0,0,0,0
-5,91.33333333,8.297333333,-3.42,0.084,-6.21,0,0,0,0,0,0,0
-5,91,6.13,-3.66,0.077333333,-6.26,0,1,0,0,0,0,0
-5,91,5.518666667,-3.986666667,0.062666667,-6.26,0,1,0,0,0,0,0
-5,91,5.574666667,-4.18,0.063333333,-6.26,0,1,0,0,0,0,0
-5.866666667,90.06666667,6.092666667,-4.813333333,0.060666667,-7.249333333,0,0,1,0,0,0,0
-6.866666667,89.46666667,5.704,-5.08,0.070666667,-8.328,0,0,0,0,0,0,0
-7,89,6.110666667,-5.46,0.063333333,-8.53,0,0,0,0,0,0,0
-7,89,5.574,-5.473333333,0.079333333,-8.53,0,0,0,0,0,0,0
-7,89,4.738666667,-5.473333333,0.121333333,-8.53,0,0,1,0,1,0,0
-7,89,4.572,-5.573333333,0.107333333,-8.53,0,0,1,0,1,1,0
-7,89,4.295333333,-5.726666667,0.095333333,-8.53,0,0,1,0,1,0,0
-7,89,4.222,-5.806666667,0.086,-8.53,0,0,0,0,0,0,0
-7,89,5.000666667,-5.9,0.076,-8.53,0,0,0,0,0,0,0
-7,89,6.055333333,-5.973333333,0.082,-8.53,0,0,0,0,0,0,0
-7,89,5.316666667,-6.073333333,0.077333333,-8.53,0,0,0,0,0,0,0
-7,89,4.498,-6.06,0.078,-8.53,0,0,0,0,0,0,0
-7,88.93333333,,-6.046666667,0.135333333,-8.54,0,0,0,0,0,0,0
-7,88,,-6,0.933333333,-8.68,0,0,0,0,0,0,0
-7.866666667,87.06666667,,-6.226666667,1.065333333,-9.668666667,0,0,0,0,0,0,0
-8,86.93333333,,-6.513333333,1.126666667,-9.82,0,0,0,0,0,0,0
-8,86.33333333,,-6.96,1.178,-9.91,0,0,0,0,0,0,0
-8,86,,-7.253333333,1.120666667,-9.96,0,0,0,0,0,0,0
-8,85.8,,-7.326666667,0.146,-9.99,0,0,0,0,0,0,0
-8,85.06666667,,-7.513333333,0.082666667,-10.1,0,0,0,0,0,0,0
-8,84.53333333,,-7.7,0.064666667,-10.18,0,0,0,0,0,0,0
-8,84,,-7.573333333,0.098,-10.26,0,0,0,0,0,0,0
-8,83.93333333,,-7.88,0.07,-10.27,0,0,0,0,0,0,0
-8,83.26666667,,-8.02,0.062,-10.37,0,0,0,0,0,0,0
-8,83,,-8.026666667,0.066,-10.41,0,0,0,0,1,1,0
-8,83,,-7.893333333,0.052666667,-10.41,0,0,0,0,0,0,0
-8,83,,-7.866666667,0.049333333,-10.41,0,0,0,0,0,0,0
-8,83,,-7.666666667,0.062666667,-10.41,0,0,0,0,1,0,0
-8,83,,-7.486666667,0.069333333,-10.41,0,0,0,0,0,0,0
-8,83,,-6.933333333,0.069333333,-10.41,0,0,1,0,1,0,0
-8,82.66666667,,-5.86,0.149333333,-10.46333333,0,0,0,0,0,0,0
-7.866666667,82.26666667,,-5.333333333,0.253333333,-10.39666667,0,0,0,0,0,0,0
-8,82.66666667,,-5.48,0.224,-10.46333333,0,0,0,0,0,0,0
-7.533333333,82.26666667,,-5.5,0.373333333,-10.07,0,0,0,0,0,0,0
-7.214285714,82.78571429,,-3.592857143,0.148571429,-9.674285714,0,0,0,0,0,0,0
-7.933333333,83,,-1.906666667,0.174666667,-10.34466667,0,0,0,0,0,0,0
-7.866666667,83,,-2.36,0.126666667,-10.27933333,0,0,0,0,0,0,0
-8,83.4,,-2.173333333,0.262,-10.35,0,0,0,0,0,0,0
-8.266666667,83.66666667,,-3.406666667,0.185333333,-10.57133333,0,0,0,0,0,0,0
-8,82.73333333,,-4.053333333,0.141333333,-10.45266667,0,0,0,0,0,0,0
-8.4,83.46666667,,-4.806666667,0.136666667,-10.732,0,0,0,0,0,0,0
-9,83.8,,-5.46,0.16,-11.27,0,0,0,0,0,0,0
-9,83.33333333,,-6.373333333,0.153333333,-11.34,0,0,0,0,0,0,0
-9,83,,-6.646666667,0.232666667,-11.39,0,0,0,0,0,0,0
-9,83,,-6.6,0.924,-11.39,0,0,0,0,0,0,0
-9,82.66666667,,-6.913333333,1.24,-11.44333333,0,0,0,0,0,0,0
-9,82.46666667,,-7,1.24,-11.47533333,0,0,0,0,0,0,0
-9,82.53333333,,-7.173333333,1.24,-11.46466667,0,0,0,0,0,0,0
-9,82.2,,-7.5,1.24,-11.518,0,0,0,0,0,0,0
-9,82.06666667,,-7.546666667,1.24,-11.53933333,0,0,0,0,0,0,0
-9,82,,-7.746666667,1.24,-11.55,0,0,0,0,0,0,0
-9,82.6,,-7.92,1.24,-11.454,0,0,0,0,0,0,0
-9.066666667,82.53333333,,-8.08,1.24,-11.53,0,0,0,0,0,0,0
-10,82,,-8.246666667,1.24,-12.52,0,0,0,0,0,0,0
-10,82,,-8.526666667,1.24,-12.52,0,0,0,0,0,0,0
-10,82,,-8.9,1.24,-12.52,0,0,0,0,0,0,0
-10,81.8,,-9.38,1.24,-12.552,0,0,0,0,0,0,0
-10,81.86666667,,-8.86,1.24,-12.54133333,0,0,0,0,0,0,0
-9.4,82,,-8.206666667,1.24,-11.938,0,0,0,0,0,0,0
-9.666666667,82,,-8.02,1.24,-12.19666667,0,0,0,0,0,0,0
-9.133333333,82.13333333,,-7.94,1.24,-11.658,0,0,0,0,0,0,0
-9,81.86666667,0.28,-7.84,1.24,-11.57,0,1,0,0,0,0,0
-8.666666667,82,0.252,-7.793333333,1.24,-11.22333333,0,1,0,0,0,0,0
-8,81,0.22,-7.54,1.24,-10.72133333,0,0,0,0,0,0,0
-8,81,0.556666667,-7.606666667,1.24,-10.72,0,0,0,0,0,0,0
-8,82.13333333,0.681111111,-7.566666667,1.24,-10.54866667,0,1,0,0,0,0,0
-8.466666667,82.2,0.731818182,-7.546666667,1.24,-10.99533333,0,1,0,0,0,0,0
-9,82.33333333,2.223333333,-7.826666667,1.24,-11.49666667,0,0,0,0,0,0,0
-8.466666667,82,1.888666667,-7.806666667,1.24,-11.02733333,0,1,0,0,0,1,0
-8.428571429,81.35714286,1.983571429,-9.192857143,1.24,-11.08714286,0,0,0,0,0,0,0
-9,80.93333333,1.127333333,-10.92,1.24,-11.71133333,0,0,0,0,0,0,0
-9.933333333,81.66666667,1.072666667,-11.86666667,1.24,-12.508,0,0,0,0,0,0,0
-10,83.13333333,1.11,-12.48666667,1.24,-12.35,0,0,0,0,0,0,0
-10,82.26666667,2.278,-11.63333333,1.24,-12.48,0,0,0,0,0,0,0
-10,81.33333333,2.852666667,-10.10666667,1.24,-12.62666667,0,0,0,0,0,0,0
-9.733333333,81.06666667,1.964,-8.273333333,1.24,-12.408,0,0,0,0,0,0,0
-9.066666667,80.26666667,2.963333333,-6.233333333,1.24,-11.88266667,0,0,0,0,0,0,0
-9,79.73333333,3.371333333,-4.526666667,1.24,-11.90266667,0,0,0,0,0,0,0
-9,78.73333333,1.946,-3.006666667,1.24,-12.06266667,0,0,1,0,0,0,0
-8.266666667,79.53333333,2.074666667,-2.02,1.24,-11.216,0,0,0,0,0,1,0
-8,80.33333333,3.482,-1.463636364,1.24,-10.82666667,0,0,0,0,0,0,0
-7.8,79.2,3.628666667,-2.18,1.24,-10.814,0,0,0,0,0,0,0
-7,77.6,2.331333333,-1.846666667,1.24,-10.298,0,0,0,0,0,0,0
-7,76.46666667,3.111333333,-1.64,1.24,-10.48466667,0,0,0,0,0,0,0
-7.8,78.86666667,2.854666667,-3.166666667,1.24,-10.86733333,0,0,0,0,0,0,0
-7.6,78.13333333,2.278,-4.466666667,1.24,-10.79266667,0,0,0,0,0,0,0
-7,74.93333333,2.852,-4.993333333,1.24,-10.74133333,0,0,0,0,0,0,0
-7,73,3.129333333,-5.413333333,1.24,-11.07666667,0,0,0,0,0,0,0
-7,73,3.094666667,-5.446666667,1.24,-11.07933333,0,0,0,0,0,0,0
-7.733333333,75.13333333,3.425333333,-6.493333333,1.24,-11.41866667,0,0,0,0,0,0,0
-8,75.86666667,2.481333333,-7.42,1.24,-11.55266667,0,0,0,0,0,0,0
-8,76.33333333,2.145333333,-7.74,1.24,-11.47666667,0,0,0,0,0,0,0
