air_temp_set_1,relative_humidity_set_1,dew_point_temperature_set_1d,road_temp_set_1,wind_speed_set_1,label
-5.333333333,89.8,-6.766666667,-4.673333333,9.092666667,Snow
-6.0,89.33333333,-7.49,-4.766666667,8.572,Snow
-6.0,89.13333333,-7.52,-4.993333333,8.684666667,Snow
-6.0,90.0,-7.39,-5.0,8.480666667,Snow
-6.0,90.0,-7.39,-5.12,7.702666667,Snow
-6.0,90.0,-7.39,-4.933333333,8.704666667,Snow
-6.0,90.0,-7.39,-4.34,7.814666667,Snow
-6.0,90.0,-7.39,-3.78,7.908,Snow
-6.0,90.0,-7.39,-3.213333333,9.129333333,Snow
-5.733333333,90.0,-7.128666667,-2.586666667,7.963333333,Snow
-5.0,90.0,-6.41,-1.566666667,7.945333333,Snow
-5.0,90.0,-6.41,-0.933333333,8.279333333,Snow
-5.0,90.0,-6.41,-0.106666667,8.334666667,Snow
-4.8,90.0,-6.212,0.74,7.055333333,Snow
-4.0,90.0,-5.42,2.76,7.112,Snow
-4.0,89.6,-5.48,2.473333333,7.741333333,Snow
-4.0,87.46666667,-5.8,2.2,7.724,Snow
-4.0,85.2,-6.148,2.933333333,7.203333333,Snow
-4.0,86.6,-5.93,1.864285714,7.296,Snow
-4.0,87.53333333,-5.79,0.593333333,6.888,Snow
-4.0,88.8,-5.6,0.02,6.908666667,Snow
-4.333333333,89.26666667,-5.857333333,-0.78,6.630666667,Snow
-5.0,89.33333333,-6.506666667,-1.366666667,7.889333333,Snow
-5.0,92.4,-6.054,-2.106666667,7.720666667,Snow
-5.0,92.13333333,-6.091333333,-2.826666667,8.315333333,Snow
-5.0,91.33333333,-6.21,-3.42,8.297333333,Snow
-5.0,91.0,-6.26,-3.66,6.13,Snow
-5.0,91.0,-6.26,-3.986666667,5.518666667,Snow
-5.0,91.0,-6.26,-4.18,5.574666667,Snow
-5.866666667,90.06666667,-7.249333333,-4.813333333,6.092666667,Snow
-6.866666667,89.46666667,-8.328,-5.08,5.704,Snow
-7.0,89.0,-8.53,-5.46,6.110666667,Snow
-7.0,89.0,-8.53,-5.473333333,5.574,Snow
-7.0,89.0,-8.53,-5.473333333,4.738666667,Snow
-7.0,89.0,-8.53,-5.573333333,4.572,Snow
-7.0,89.0,-8.53,-5.726666667,4.295333333,Snow
-7.0,89.0,-8.53,-5.806666667,4.222,Snow
-7.0,89.0,-8.53,-5.9,5.000666667,Snow
-7.0,89.0,-8.53,-5.973333333,6.055333333,Snow
-7.0,89.0,-8.53,-6.073333333,5.316666667,Snow
-7.0,89.0,-8.53,-6.06,4.498,Snow
-7.0,88.93333333,-8.54,-6.046666667,,Snow
-7.0,88.0,-8.68,-6.0,,Snow
-7.866666667,87.06666667,-9.668666667,-6.226666667,,Snow
-8.0,86.93333333,-9.82,-6.513333333,,Snow
-8.0,86.33333333,-9.91,-6.96,,Snow
-8.0,86.0,-9.96,-7.253333333,,Snow
-8.0,85.8,-9.99,-7.326666667,,Snow
-8.0,85.06666667,-10.1,-7.513333333,,Snow
-8.0,84.53333333,-10.18,-7.7,,Snow
-8.0,84.0,-10.26,-7.573333333,,Snow
-8.0,83.93333333,-10.27,-7.88,,Snow
-8.0,83.26666667,-10.37,-8.02,,Snow
-8.0,83.0,-10.41,-8.026666667,,Snow
-8.0,83.0,-10.41,-7.893333333,,Snow
-8.0,83.0,-10.41,-7.866666667,,Snow
-8.0,83.0,-10.41,-7.666666667,,Snow
-8.0,83.0,-10.41,-7.486666667,,Snow
-8.0,83.0,-10.41,-6.933333333,,Snow
-8.0,82.66666667,-10.46333333,-5.86,,Snow
-7.866666667,82.26666667,-10.39666667,-5.333333333,,Snow
-8.0,82.66666667,-10.46333333,-5.48,,Snow
-7.533333333,82.26666667,-10.07,-5.5,,Snow
-7.214285714,82.78571429,-9.674285714,-3.592857143,,Snow
-7.933333333,83.0,-10.34466667,-1.906666667,,Snow
-7.866666667,83.0,-10.27933333,-2.36,,Snow
-8.0,83.4,-10.35,-2.173333333,,Snow
-8.266666667,83.66666667,-10.57133333,-3.406666667,,Snow
-8.0,82.73333333,-10.45266667,-4.053333333,,Snow
-8.4,83.46666667,-10.732,-4.806666667,,Snow
-9.0,83.8,-11.27,-5.46,,Snow
-9.0,83.33333333,-11.34,-6.373333333,,Snow
-9.0,83.0,-11.39,-6.646666667,,Snow
-9.0,83.0,-11.39,-6.6,,Snow
-9.0,82.66666667,-11.44333333,-6.913333333,,Snow
-9.0,82.46666667,-11.47533333,-7.0,,Snow
-9.0,82.53333333,-11.46466667,-7.173333333,,Snow
-9.0,82.2,-11.518,-7.5,,Snow
-9.0,82.06666667,-11.53933333,-7.546666667,,Snow
-9.0,82.0,-11.55,-7.746666667,,Snow
-9.0,82.6,-11.454,-7.92,,Snow
-9.066666667,82.53333333,-11.53,-8.08,,Snow
-10.0,82.0,-12.52,-8.246666667,,Snow
-10.0,82.0,-12.52,-8.526666667,,Snow
-10.0,82.0,-12.52,-8.9,,Snow
-10.0,81.8,-12.552,-9.38,,Snow
-10.0,81.86666667,-12.54133333,-8.86,,Snow
-9.4,82.0,-11.938,-8.206666667,,Snow
-9.666666667,82.0,-12.19666667,-8.02,,Snow
-9.133333333,82.13333333,-11.658,-7.94,,Snow
-9.0,81.86666667,-11.57,-7.84,0.28,Snow
-8.666666667,82.0,-11.22333333,-7.793333333,0.252,Snow
-8.0,81.0,-10.72133333,-7.54,0.22,Snow
-8.0,81.0,-10.72,-7.606666667,0.556666667,Snow
-8.0,82.13333333,-10.54866667,-7.566666667,0.681111111,Snow
-8.466666667,82.2,-10.99533333,-7.546666667,0.731818182,Snow
-9.0,82.33333333,-11.49666667,-7.826666667,2.223333333,Snow
-8.466666667,82.0,-11.02733333,-7.806666667,1.888666667,Snow
-8.428571429,81.35714286,-11.08714286,-9.192857143,1.983571429,Snow
-9.0,80.93333333,-11.71133333,-10.92,1.127333333,Snow
-9.933333333,81.66666667,-12.508,-11.86666667,1.072666667,Snow
-10.0,83.13333333,-12.35,-12.48666667,1.11,Snow
-10.0,82.26666667,-12.48,-11.63333333,2.278,Snow
-10.0,81.33333333,-12.62666667,-10.10666667,2.852666667,Snow
-9.733333333,81.06666667,-12.408,-8.273333333,1.964,Snow
-9.066666667,80.26666667,-11.88266667,-6.233333333,2.963333333,Snow
-9.0,79.73333333,-11.90266667,-4.526666667,3.371333333,Snow
-9.0,78.73333333,-12.06266667,-3.006666667,1.946,Snow
-8.266666667,79.53333333,-11.216,-2.02,2.074666667,Snow
-8.0,80.33333333,-10.82666667,-1.463636364,3.482,Snow
-7.8,79.2,-10.814,-2.18,3.628666667,Snow
-7.0,77.6,-10.298,-1.846666667,2.331333333,Snow
-7.0,76.46666667,-10.48466667,-1.64,3.111333333,Snow
-7.8,78.86666667,-10.86733333,-3.166666667,2.854666667,Snow
-7.6,78.13333333,-10.79266667,-4.466666667,2.278,Snow
-7.0,74.93333333,-10.74133333,-4.993333333,2.852,Snow
-7.0,73.0,-11.07666667,-5.413333333,3.129333333,Snow
-7.0,73.0,-11.07933333,-5.446666667,3.094666667,Snow
-7.733333333,75.13333333,-11.41866667,-6.493333333,3.425333333,Snow
-8.0,75.86666667,-11.55266667,-7.42,2.481333333,Snow
-8.0,76.33333333,-11.47666667,-7.74,2.145333333,Snow
-8.0,74.8,-11.734,-8.58,2.369333333,Snow
-8.0,76.53333333,-11.444,-9.726666667,2.668,Snow
-8.733333333,77.4,-12.01733333,-10.90666667,2.78,Snow
-9.0,78.06666667,-12.16933333,-11.33333333,2.964,Snow
-9.466666667,80.2,-12.28333333,-11.92666667,2.964,Snow
-9.266666667,80.2,-12.08733333,-11.98666667,2.78,Snow
